Transaction_Amount,Transaction_Type,Device_Used,Account_Age,Credit_Score,Previous_Fraud,Day,Day_of_Week,Hour,Minute
7369.36,Deposit,Web,8,629,Yes,26,Sunday,8,1
4877.76,Deposit,Mobile,3,599,Yes,15,Wednesday,21,31
7158.03,Online Payment,POS Terminal,19,772,Yes,11,Saturday,6,45
356.54,Withdrawal,POS Terminal,11,531,Yes,11,Tuesday,6,46
7128.46,Transfer,POS Terminal,17,695,Yes,26,Sunday,16,14
1935.03,Withdrawal,POS Terminal,1,845,Yes,18,Saturday,16,25
6316.87,Deposit,ATM,13,548,Yes,12,Wednesday,0,32
2679.44,Withdrawal,ATM,3,561,Yes,1,Wednesday,19,43
9314.53,Online Payment,ATM,5,495,Yes,13,Thursday,7,13
5357.05,Deposit,ATM,5,394,No,22,Wednesday,7,59
3272.13,Transfer,Mobile,19,780,Yes,7,Tuesday,7,51
3054.88,Deposit,POS Terminal,19,563,No,7,Friday,7,41
6638.99,Deposit,Web,18,526,Yes,3,Monday,3,28
946.75,Online Payment,POS Terminal,16,566,No,3,Monday,18,39
9690.21,Online Payment,Web,15,659,No,8,Wednesday,12,11
4227.43,Online Payment,Web,9,351,No,9,Thursday,15,5
7794.73,Deposit,POS Terminal,11,503,No,24,Friday,5,21
428.18,Deposit,Web,17,842,Yes,13,Thursday,15,14
1160.57,Online Payment,Mobile,9,741,Yes,18,Saturday,23,26
8718.61,Deposit,Web,6,723,No,11,Tuesday,12,46
4091.25,Withdrawal,POS Terminal,10,579,Yes,2,Thursday,1,1
4560.0,Withdrawal,POS Terminal,19,622,No,4,Tuesday,5,17
1410.47,Transfer,Web,3,799,No,6,Thursday,5,36
6116.83,Online Payment,ATM,7,424,Yes,16,Thursday,22,23
2286.1,Transfer,Mobile,14,766,Yes,13,Monday,1,30
5020.72,Online Payment,POS Terminal,20,461,Yes,10,Friday,10,37
7168.62,Transfer,POS Terminal,3,641,Yes,8,Wednesday,7,41
2012.4,Online Payment,POS Terminal,6,614,No,13,Monday,5,1
2193.37,Online Payment,Mobile,10,811,Yes,4,Tuesday,7,49
8076.06,Online Payment,POS Terminal,14,325,No,1,Wednesday,17,6
2365.63,Online Payment,ATM,8,705,No,12,Sunday,19,55
1755.1,Online Payment,POS Terminal,10,635,No,17,Friday,20,11
54.53,Transfer,ATM,1,622,Yes,19,Sunday,19,53
6648.78,Transfer,Mobile,20,375,Yes,13,Monday,14,38
7716.14,Withdrawal,Mobile,7,843,No,23,Thursday,16,42
7850.41,Online Payment,POS Terminal,15,666,Yes,14,Friday,12,58
5797.29,Withdrawal,ATM,3,821,No,1,Wednesday,9,28
1617.12,Transfer,POS Terminal,5,764,Yes,15,Saturday,20,22
7582.49,Withdrawal,Mobile,7,733,Yes,3,Friday,17,36
2868.02,Deposit,ATM,1,765,Yes,25,Saturday,18,19
428.98,Transfer,Web,5,380,Yes,16,Thursday,13,37
2256.72,Transfer,POS Terminal,15,329,No,12,Sunday,16,23
2324.34,Deposit,Web,14,365,No,22,Wednesday,0,57
8633.59,Withdrawal,Web,4,424,No,29,Wednesday,7,7
7373.97,Deposit,Mobile,17,627,No,3,Monday,9,30
1647.2,Withdrawal,ATM,14,486,Yes,30,Thursday,0,31
4211.69,Withdrawal,Web,12,438,Yes,9,Thursday,9,13
7693.0,Withdrawal,POS Terminal,20,705,No,28,Tuesday,2,35
3840.34,Online Payment,ATM,1,346,No,30,Thursday,21,19
4012.17,Online Payment,Web,3,393,No,23,Thursday,11,6
4718.9,Deposit,Mobile,14,647,No,6,Thursday,13,55
7935.6,Online Payment,Web,6,385,Yes,4,Saturday,2,20
2803.6,Transfer,ATM,5,482,Yes,17,Friday,10,13
5200.57,Deposit,Web,18,439,Yes,8,Saturday,10,32
9022.64,Online Payment,POS Terminal,15,310,No,9,Sunday,19,35
2689.9,Online Payment,Web,18,418,Yes,4,Tuesday,11,46
4460.34,Withdrawal,Web,13,565,Yes,13,Monday,21,54
8186.41,Deposit,POS Terminal,12,770,Yes,12,Wednesday,14,6
5960.59,Transfer,Mobile,8,754,Yes,6,Monday,17,51
7123.94,Withdrawal,POS Terminal,11,539,Yes,16,Thursday,14,31
7486.78,Transfer,ATM,10,846,No,26,Sunday,21,44
6765.26,Deposit,ATM,2,821,No,29,Wednesday,13,2
8780.65,Online Payment,ATM,20,422,Yes,15,Wednesday,14,22
2848.2,Deposit,Mobile,13,768,No,5,Wednesday,8,31
5783.63,Online Payment,POS Terminal,15,685,No,16,Thursday,7,7
9118.53,Online Payment,Web,17,742,No,19,Sunday,0,8
1589.8,Transfer,Mobile,1,498,No,18,Saturday,22,12
9909.92,Online Payment,POS Terminal,8,696,Yes,1,Wednesday,6,27
3613.61,Withdrawal,Mobile,5,404,Yes,2,Thursday,12,0
3992.36,Online Payment,Web,8,635,Yes,8,Saturday,1,42
717.55,Transfer,Mobile,16,473,No,14,Tuesday,15,29
9724.38,Transfer,POS Terminal,16,770,No,30,Thursday,6,41
3611.11,Online Payment,Mobile,8,593,No,24,Friday,20,41
159.08,Transfer,Mobile,11,737,Yes,1,Wednesday,16,50
6432.97,Transfer,POS Terminal,17,609,Yes,5,Wednesday,7,0
1576.58,Deposit,POS Terminal,14,615,No,25,Saturday,11,45
6231.05,Transfer,POS Terminal,4,526,No,2,Sunday,18,58
2456.72,Online Payment,Mobile,2,484,Yes,15,Saturday,10,36
8122.92,Deposit,Web,18,574,No,25,Saturday,4,29
4150.67,Online Payment,Mobile,18,825,No,17,Friday,5,56
6271.66,Transfer,ATM,13,633,No,27,Monday,7,56
1334.27,Online Payment,POS Terminal,8,629,No,11,Saturday,8,13
8898.05,Withdrawal,POS Terminal,10,393,No,10,Monday,7,41
6471.69,Deposit,Mobile,3,589,No,13,Thursday,5,13
6346.46,Withdrawal,POS Terminal,11,382,Yes,13,Monday,21,8
2629.56,Online Payment,POS Terminal,10,746,Yes,13,Thursday,18,56
1768.61,Transfer,Web,6,795,No,26,Sunday,5,57
5449.69,Deposit,Mobile,9,433,Yes,11,Saturday,0,43
467.48,Online Payment,ATM,12,483,Yes,10,Monday,13,0
8935.78,Online Payment,Mobile,13,366,Yes,27,Monday,13,31
477.46,Deposit,Mobile,13,432,No,8,Saturday,11,40
293.11,Transfer,ATM,8,689,Yes,22,Wednesday,10,54
7550.99,Withdrawal,ATM,9,462,Yes,23,Thursday,19,26
8209.54,Transfer,ATM,8,420,No,23,Thursday,6,24
6669.41,Deposit,ATM,3,719,No,8,Saturday,17,17
367.72,Transfer,Mobile,14,579,No,7,Tuesday,0,3
8147.17,Deposit,Mobile,11,839,No,11,Saturday,0,28
5775.82,Deposit,Web,17,526,No,14,Friday,17,58
8954.83,Transfer,POS Terminal,11,557,No,7,Friday,9,43
2807.25,Deposit,POS Terminal,20,637,Yes,29,Wednesday,22,10
8470.72,Online Payment,Web,8,744,No,2,Sunday,8,36
8231.84,Transfer,Mobile,9,817,No,10,Friday,2,26
869.04,Withdrawal,ATM,16,804,No,1,Saturday,3,33
9966.19,Deposit,POS Terminal,11,836,Yes,23,Thursday,7,36
8448.38,Deposit,Mobile,17,648,No,16,Thursday,7,30
9411.73,Deposit,POS Terminal,13,340,Yes,25,Saturday,23,55
5369.23,Transfer,Web,5,776,Yes,5,Wednesday,1,42
638.4,Deposit,POS Terminal,5,361,No,21,Tuesday,2,19
2749.84,Transfer,Mobile,15,507,Yes,29,Wednesday,12,17
3931.02,Online Payment,POS Terminal,16,314,No,29,Wednesday,5,13
4363.52,Transfer,ATM,9,319,Yes,2,Sunday,12,56
1150.9,Deposit,ATM,13,589,No,7,Tuesday,8,0
9831.7,Deposit,Mobile,12,452,No,8,Wednesday,9,55
1951.39,Transfer,POS Terminal,10,341,Yes,14,Tuesday,2,34
2666.18,Online Payment,POS Terminal,2,465,No,8,Wednesday,0,43
7281.08,Deposit,POS Terminal,3,694,No,30,Thursday,6,30
4885.75,Online Payment,ATM,17,659,No,13,Thursday,19,25
5433.55,Transfer,Mobile,12,724,Yes,12,Wednesday,7,25
576.59,Transfer,POS Terminal,8,655,Yes,7,Tuesday,21,20
8369.96,Deposit,Web,15,779,No,4,Saturday,15,26
8277.23,Withdrawal,Mobile,11,726,No,8,Wednesday,22,10
2591.6,Deposit,Web,14,599,No,9,Sunday,10,14
6314.05,Transfer,POS Terminal,11,650,Yes,5,Wednesday,6,11
4532.82,Transfer,POS Terminal,12,614,Yes,14,Friday,5,47
7237.05,Online Payment,Web,9,406,Yes,8,Saturday,13,29
7646.84,Transfer,POS Terminal,17,704,Yes,30,Thursday,13,25
8084.56,Withdrawal,POS Terminal,18,713,Yes,11,Saturday,22,39
5980.51,Withdrawal,ATM,8,829,Yes,30,Thursday,13,52
4920.85,Withdrawal,ATM,2,760,Yes,5,Wednesday,6,4
8610.22,Deposit,ATM,6,784,No,23,Thursday,19,42
6710.37,Withdrawal,Mobile,12,773,Yes,22,Wednesday,20,38
4990.18,Online Payment,POS Terminal,15,739,Yes,28,Tuesday,4,37
737.23,Online Payment,Web,16,507,Yes,4,Tuesday,4,47
5354.82,Withdrawal,Mobile,8,703,Yes,7,Friday,5,46
417.88,Online Payment,Web,18,351,No,8,Wednesday,1,16
2181.55,Online Payment,Mobile,20,325,No,8,Wednesday,22,54
865.57,Transfer,Web,4,592,No,15,Saturday,8,58
961.86,Withdrawal,Mobile,7,699,Yes,13,Monday,18,22
5212.99,Deposit,POS Terminal,3,315,No,29,Wednesday,21,59
3818.61,Withdrawal,POS Terminal,4,547,Yes,21,Tuesday,11,46
1820.63,Deposit,ATM,11,746,No,10,Friday,23,53
4752.1,Withdrawal,Web,11,788,No,8,Wednesday,22,59
5356.42,Deposit,Web,4,808,Yes,5,Sunday,19,29
587.91,Transfer,POS Terminal,9,359,No,9,Thursday,14,1
4725.93,Transfer,POS Terminal,2,758,Yes,2,Thursday,22,22
5313.59,Withdrawal,POS Terminal,17,749,Yes,17,Friday,7,4
6002.44,Transfer,Mobile,6,457,Yes,28,Tuesday,8,59
5399.12,Online Payment,ATM,10,330,No,13,Thursday,4,39
641.62,Deposit,POS Terminal,18,448,No,18,Saturday,6,40
5701.58,Online Payment,Mobile,17,401,Yes,19,Sunday,12,2
3033.84,Withdrawal,ATM,6,708,No,11,Tuesday,20,47
1215.8,Withdrawal,ATM,17,745,Yes,1,Saturday,1,17
6131.65,Deposit,ATM,17,303,No,9,Thursday,5,38
1002.74,Deposit,Mobile,14,467,No,1,Wednesday,8,59
791.89,Transfer,POS Terminal,18,340,Yes,21,Tuesday,9,10
8640.91,Withdrawal,Web,7,525,No,15,Saturday,3,58
6787.7,Transfer,POS Terminal,5,368,Yes,9,Sunday,15,38
4654.71,Online Payment,Web,18,844,No,31,Friday,6,56
2982.27,Deposit,Web,5,441,No,10,Monday,10,56
4961.75,Transfer,ATM,9,524,No,24,Friday,7,14
9012.24,Transfer,Mobile,11,482,Yes,7,Tuesday,11,51
9981.58,Withdrawal,ATM,19,777,Yes,6,Monday,9,48
9756.01,Transfer,ATM,20,656,Yes,9,Thursday,5,44
8490.71,Transfer,Mobile,4,486,No,1,Wednesday,4,1
8689.84,Transfer,ATM,12,625,Yes,15,Wednesday,2,55
1334.74,Transfer,Mobile,9,382,Yes,14,Friday,12,17
129.12,Online Payment,ATM,15,469,No,6,Monday,7,6
6791.75,Transfer,Web,18,556,Yes,30,Thursday,14,35
9439.87,Transfer,Web,14,579,No,26,Sunday,23,39
9886.44,Withdrawal,Web,10,348,Yes,1,Saturday,5,59
5320.46,Deposit,Mobile,11,848,Yes,31,Friday,15,55
3537.78,Transfer,Mobile,17,407,Yes,4,Tuesday,7,1
8541.42,Online Payment,POS Terminal,15,335,Yes,1,Saturday,3,22
3499.93,Transfer,Mobile,5,412,No,31,Friday,20,19
3630.34,Online Payment,POS Terminal,15,764,Yes,23,Thursday,6,9
9604.69,Online Payment,Mobile,15,478,Yes,17,Friday,14,49
3743.71,Deposit,Web,18,525,No,31,Friday,6,22
5544.53,Deposit,Mobile,4,693,Yes,12,Sunday,5,4
497.88,Withdrawal,ATM,19,660,No,19,Sunday,8,34
4101.32,Transfer,Web,15,302,No,21,Tuesday,9,17
2953.49,Transfer,Web,20,828,Yes,13,Thursday,0,28
1451.44,Deposit,POS Terminal,19,733,No,28,Tuesday,19,20
317.63,Deposit,POS Terminal,16,728,No,9,Sunday,7,4
2662.96,Transfer,POS Terminal,15,339,Yes,13,Monday,22,31
1755.46,Transfer,Web,15,573,Yes,12,Sunday,14,50
2060.37,Online Payment,Web,3,580,No,31,Friday,9,54
7250.27,Online Payment,ATM,14,582,No,4,Tuesday,10,50
3532.54,Deposit,Mobile,2,435,Yes,10,Monday,16,45
1905.52,Online Payment,Web,1,630,No,22,Wednesday,2,48
4700.2,Withdrawal,Web,2,678,No,8,Saturday,9,21
8818.95,Deposit,ATM,19,686,Yes,14,Friday,23,56
7320.94,Withdrawal,ATM,16,576,Yes,2,Sunday,18,57
7052.67,Deposit,Mobile,11,635,Yes,4,Tuesday,18,13
6445.93,Deposit,Web,18,401,Yes,14,Friday,15,39
8662.39,Withdrawal,POS Terminal,11,787,Yes,12,Wednesday,10,23
3540.71,Deposit,POS Terminal,9,550,No,27,Monday,21,10
9342.74,Deposit,ATM,1,636,No,1,Saturday,14,23
798.95,Online Payment,POS Terminal,3,770,No,21,Tuesday,4,46
8283.03,Online Payment,Mobile,13,338,Yes,11,Tuesday,19,49
315.33,Online Payment,POS Terminal,3,819,No,29,Wednesday,20,20
7698.43,Withdrawal,Mobile,8,699,Yes,6,Thursday,12,11
9403.71,Transfer,Web,15,415,Yes,8,Saturday,21,52
5921.19,Withdrawal,ATM,12,324,Yes,1,Wednesday,23,20
4328.54,Online Payment,Mobile,2,442,Yes,11,Tuesday,16,20
7369.31,Withdrawal,POS Terminal,12,549,Yes,8,Saturday,3,28
3516.83,Deposit,POS Terminal,11,532,Yes,12,Sunday,3,56
905.48,Deposit,Mobile,14,434,Yes,16,Sunday,7,40
6253.16,Online Payment,ATM,16,614,No,13,Thursday,16,29
1716.1,Transfer,ATM,12,467,No,7,Friday,3,22
4043.26,Withdrawal,Mobile,18,527,No,11,Saturday,2,5
4481.13,Online Payment,ATM,10,790,Yes,2,Sunday,11,7
5650.71,Withdrawal,POS Terminal,3,679,Yes,8,Saturday,0,30
3128.87,Deposit,Web,19,391,Yes,1,Saturday,2,24
1836.57,Withdrawal,Web,11,487,Yes,26,Sunday,16,20
1829.97,Online Payment,Mobile,17,610,No,25,Saturday,18,28
786.01,Withdrawal,ATM,2,830,No,4,Tuesday,16,50
2161.06,Online Payment,POS Terminal,12,656,Yes,31,Friday,19,11
513.7,Deposit,ATM,6,403,Yes,4,Tuesday,22,55
6523.24,Online Payment,Web,7,658,Yes,3,Monday,7,13
7067.2,Deposit,ATM,6,571,No,24,Friday,11,58
1735.39,Deposit,Mobile,14,670,Yes,18,Saturday,14,31
5097.21,Transfer,ATM,7,388,No,5,Wednesday,21,45
3982.46,Online Payment,POS Terminal,18,748,Yes,24,Friday,5,47
5911.0,Withdrawal,Mobile,15,767,Yes,26,Sunday,11,14
7773.12,Deposit,Mobile,2,408,No,12,Sunday,10,1
4583.49,Deposit,Mobile,6,393,Yes,11,Saturday,22,47
4726.33,Online Payment,POS Terminal,11,493,Yes,21,Tuesday,21,55
8455.61,Online Payment,POS Terminal,8,466,Yes,22,Wednesday,7,10
1692.83,Online Payment,Mobile,4,522,No,13,Monday,1,50
3401.41,Transfer,Mobile,2,603,Yes,16,Sunday,2,53
8615.67,Withdrawal,Mobile,17,370,No,2,Thursday,15,26
3802.22,Withdrawal,ATM,4,486,No,5,Sunday,7,4
6081.73,Deposit,ATM,7,380,No,19,Sunday,5,26
1491.16,Deposit,Mobile,2,716,No,8,Wednesday,23,16
7096.44,Withdrawal,ATM,6,655,Yes,23,Thursday,15,1
1882.23,Withdrawal,Web,20,733,No,17,Friday,21,22
264.36,Deposit,Web,12,628,No,17,Friday,20,45
5431.68,Transfer,POS Terminal,7,648,Yes,14,Tuesday,10,40
344.95,Online Payment,Mobile,18,682,No,8,Saturday,5,28
8701.88,Withdrawal,Web,2,679,No,23,Thursday,15,41
7238.42,Deposit,Mobile,7,749,No,6,Monday,16,33
8794.83,Withdrawal,Web,11,678,No,6,Monday,8,5
365.65,Withdrawal,POS Terminal,17,506,Yes,3,Monday,1,27
5841.45,Deposit,Mobile,3,492,No,25,Saturday,0,26
9959.33,Online Payment,POS Terminal,14,529,Yes,3,Monday,2,26
2713.48,Withdrawal,ATM,10,305,Yes,2,Thursday,16,46
1308.41,Withdrawal,ATM,1,413,No,24,Friday,13,22
6219.63,Deposit,ATM,6,461,Yes,12,Sunday,22,31
2416.67,Online Payment,Web,11,377,No,31,Friday,0,31
8558.2,Transfer,ATM,4,770,Yes,27,Monday,9,43
3504.0,Transfer,ATM,9,555,Yes,6,Thursday,9,16
625.11,Online Payment,Mobile,12,509,No,15,Saturday,2,25
5454.63,Withdrawal,POS Terminal,11,429,No,15,Saturday,9,35
11.19,Online Payment,Mobile,15,429,No,28,Tuesday,5,34
512.87,Withdrawal,POS Terminal,2,679,No,4,Tuesday,7,5
9562.64,Online Payment,POS Terminal,13,699,Yes,31,Friday,18,23
8638.04,Transfer,Mobile,18,397,No,21,Tuesday,14,53
4807.22,Transfer,Mobile,19,749,No,7,Friday,16,19
6413.35,Transfer,POS Terminal,10,587,No,14,Friday,17,32
3765.39,Withdrawal,Web,5,471,Yes,3,Monday,8,4
6577.02,Withdrawal,ATM,6,310,Yes,30,Thursday,18,36
5477.05,Deposit,POS Terminal,8,375,Yes,19,Sunday,16,13
2599.75,Transfer,Web,12,606,Yes,1,Wednesday,23,16
6416.99,Transfer,Web,7,487,No,2,Thursday,6,44
957.77,Online Payment,Web,17,377,No,2,Thursday,14,44
1703.48,Deposit,POS Terminal,1,746,No,29,Wednesday,21,17
8500.6,Transfer,ATM,11,795,No,12,Sunday,12,13
6870.02,Withdrawal,ATM,19,485,No,4,Tuesday,7,14
1895.79,Deposit,ATM,7,479,No,14,Tuesday,20,25
5044.76,Withdrawal,Web,3,479,Yes,17,Friday,9,4
6593.03,Deposit,Web,3,336,No,14,Tuesday,13,49
5530.11,Deposit,ATM,14,724,Yes,13,Monday,0,27
6258.67,Deposit,POS Terminal,17,422,Yes,15,Wednesday,13,37
2467.72,Online Payment,Mobile,13,522,No,3,Friday,8,11
3364.74,Deposit,Mobile,14,610,Yes,17,Friday,7,15
9600.84,Deposit,Mobile,2,319,Yes,24,Friday,19,58
2937.9,Deposit,POS Terminal,13,717,Yes,6,Monday,7,36
1994.22,Withdrawal,Web,13,422,Yes,14,Tuesday,8,12
1256.88,Withdrawal,Web,4,440,Yes,6,Thursday,11,31
7382.84,Deposit,Web,5,692,No,8,Wednesday,0,8
6106.62,Deposit,Mobile,19,831,No,8,Saturday,6,15
249.37,Online Payment,ATM,1,432,No,10,Friday,15,50
860.82,Withdrawal,POS Terminal,19,810,Yes,20,Monday,15,37
2333.89,Withdrawal,POS Terminal,1,805,No,1,Saturday,10,0
6050.21,Deposit,Mobile,7,575,Yes,15,Saturday,14,12
4247.32,Online Payment,POS Terminal,10,323,No,11,Saturday,3,13
1548.43,Online Payment,Web,11,444,Yes,31,Friday,12,52
9590.95,Withdrawal,POS Terminal,4,706,No,19,Sunday,21,9
2874.44,Withdrawal,Mobile,16,738,Yes,2,Sunday,23,13
1445.05,Transfer,Mobile,18,817,Yes,11,Tuesday,6,49
9414.98,Online Payment,ATM,6,711,Yes,2,Sunday,22,21
2837.24,Deposit,Web,18,850,No,12,Wednesday,10,48
5788.3,Transfer,POS Terminal,10,336,Yes,1,Saturday,15,9
5303.73,Transfer,Mobile,13,396,No,9,Sunday,16,20
3254.14,Transfer,Web,9,788,Yes,8,Wednesday,13,42
9176.45,Deposit,POS Terminal,15,402,No,11,Tuesday,23,16
6687.37,Withdrawal,Web,11,672,Yes,24,Friday,3,2
8695.54,Transfer,ATM,4,443,No,6,Monday,8,21
2270.73,Deposit,POS Terminal,15,707,Yes,17,Friday,16,31
755.08,Deposit,Mobile,17,392,No,8,Wednesday,22,5
1994.52,Deposit,Web,15,735,No,6,Monday,14,1
9789.45,Withdrawal,ATM,12,587,No,26,Sunday,6,46
8848.0,Deposit,POS Terminal,12,634,Yes,20,Monday,21,33
4615.75,Online Payment,POS Terminal,6,454,No,27,Monday,10,28
8847.26,Withdrawal,Web,8,567,Yes,11,Saturday,20,57
6704.04,Withdrawal,POS Terminal,18,310,Yes,16,Thursday,17,39
9728.43,Online Payment,Mobile,1,819,No,15,Saturday,8,31
292.31,Withdrawal,Mobile,14,689,No,14,Tuesday,4,37
6803.55,Deposit,POS Terminal,13,534,Yes,28,Tuesday,0,36
3814.92,Online Payment,ATM,12,611,No,16,Thursday,22,30
130.55,Transfer,Web,14,781,No,31,Friday,16,46
2444.15,Deposit,Mobile,9,438,No,14,Tuesday,10,11
7817.21,Transfer,ATM,4,709,Yes,21,Tuesday,16,47
4814.92,Transfer,ATM,17,801,No,28,Tuesday,7,23
5122.86,Deposit,Web,7,669,No,6,Thursday,23,19
6536.31,Deposit,POS Terminal,7,809,No,30,Thursday,23,47
94.14,Online Payment,Web,3,572,Yes,5,Sunday,12,40
9373.88,Online Payment,POS Terminal,16,713,Yes,16,Sunday,3,15
1275.94,Withdrawal,ATM,1,726,Yes,10,Monday,15,50
7880.64,Transfer,Mobile,3,605,Yes,29,Wednesday,22,46
276.03,Online Payment,ATM,18,582,Yes,7,Friday,1,49
7683.34,Deposit,ATM,16,568,Yes,4,Tuesday,23,38
1480.51,Online Payment,POS Terminal,1,738,No,29,Wednesday,17,30
3614.12,Deposit,POS Terminal,2,312,No,8,Saturday,21,20
1293.19,Withdrawal,Web,13,487,No,26,Sunday,1,18
9331.29,Online Payment,Web,3,827,No,15,Saturday,18,12
9937.52,Deposit,Mobile,7,845,Yes,12,Sunday,1,56
7520.28,Deposit,ATM,7,596,No,1,Saturday,21,14
7000.69,Deposit,Mobile,18,690,Yes,6,Monday,10,6
2910.86,Deposit,ATM,13,763,Yes,14,Tuesday,21,59
1854.4,Withdrawal,Web,16,425,No,12,Sunday,2,26
2215.06,Withdrawal,POS Terminal,3,377,Yes,2,Thursday,16,6
8101.44,Deposit,Web,18,429,No,2,Thursday,14,50
8779.28,Online Payment,Web,9,565,No,27,Monday,8,44
8101.0,Withdrawal,POS Terminal,6,789,Yes,31,Friday,6,3
3741.06,Online Payment,POS Terminal,17,760,Yes,11,Tuesday,18,24
8117.74,Online Payment,Web,7,633,Yes,15,Saturday,15,22
1595.91,Online Payment,Web,13,415,Yes,2,Thursday,12,51
7254.06,Withdrawal,Mobile,5,382,No,21,Tuesday,0,26
8470.44,Withdrawal,Web,9,816,No,8,Wednesday,3,22
2898.11,Online Payment,Mobile,16,428,Yes,2,Sunday,7,23
1511.85,Online Payment,Web,15,822,Yes,1,Wednesday,16,54
9860.89,Transfer,Mobile,18,495,No,11,Tuesday,8,8
4805.89,Online Payment,Web,11,401,Yes,18,Saturday,22,24
3775.96,Deposit,Web,18,364,No,14,Friday,10,13
3055.89,Deposit,Web,5,825,Yes,8,Wednesday,9,40
8715.83,Deposit,Mobile,3,726,Yes,1,Wednesday,23,48
2137.58,Withdrawal,Mobile,11,378,No,7,Tuesday,5,14
7867.94,Online Payment,POS Terminal,20,798,No,15,Saturday,23,44
8163.46,Online Payment,ATM,13,639,Yes,21,Tuesday,2,8
9559.41,Transfer,Web,12,434,No,15,Saturday,2,10
9949.54,Deposit,POS Terminal,5,495,Yes,8,Saturday,23,25
8353.9,Deposit,Mobile,15,636,No,5,Wednesday,8,37
2694.36,Online Payment,ATM,2,761,Yes,8,Wednesday,22,22
6610.18,Transfer,ATM,14,767,No,21,Tuesday,1,24
8926.86,Withdrawal,Mobile,18,555,No,12,Sunday,3,5
3487.04,Deposit,Web,11,554,Yes,9,Thursday,2,47
829.42,Withdrawal,Mobile,15,592,No,10,Friday,8,13
7695.1,Online Payment,POS Terminal,15,414,No,13,Thursday,7,10
3288.95,Online Payment,POS Terminal,11,518,No,19,Sunday,7,39
1727.52,Deposit,POS Terminal,15,494,Yes,7,Tuesday,8,44
2885.19,Withdrawal,Web,3,317,Yes,9,Thursday,20,8
1044.42,Online Payment,POS Terminal,6,831,Yes,15,Saturday,14,0
9970.38,Transfer,POS Terminal,13,747,Yes,6,Thursday,6,55
2186.79,Online Payment,Web,11,542,Yes,6,Monday,16,53
1315.32,Transfer,POS Terminal,5,848,No,24,Friday,5,56
1849.51,Online Payment,Web,20,451,No,4,Tuesday,1,28
166.96,Deposit,POS Terminal,19,361,Yes,6,Monday,5,56
4883.74,Transfer,ATM,13,713,Yes,25,Saturday,15,23
9468.24,Transfer,ATM,12,632,No,16,Thursday,1,19
245.83,Deposit,Mobile,15,721,No,6,Thursday,18,19
9475.43,Transfer,ATM,4,633,No,30,Thursday,17,37
2363.41,Deposit,Web,9,640,No,19,Sunday,19,0
351.82,Withdrawal,Mobile,17,780,No,6,Monday,22,22
2021.4,Transfer,Web,9,775,No,9,Thursday,7,9
8670.55,Transfer,Mobile,2,724,No,11,Tuesday,14,22
6806.38,Withdrawal,ATM,6,396,Yes,4,Saturday,23,6
8432.75,Transfer,POS Terminal,11,411,Yes,23,Thursday,21,51
7817.48,Transfer,POS Terminal,2,374,Yes,20,Monday,3,30
2202.89,Deposit,Mobile,12,841,Yes,22,Wednesday,12,47
8255.6,Transfer,POS Terminal,15,618,No,28,Tuesday,0,18
9628.43,Online Payment,Web,16,822,Yes,14,Tuesday,20,38
5009.46,Online Payment,POS Terminal,5,392,No,15,Saturday,0,10
728.48,Deposit,POS Terminal,7,706,No,23,Thursday,18,19
4468.99,Transfer,POS Terminal,15,819,Yes,26,Sunday,6,26
7009.05,Online Payment,ATM,12,310,No,24,Friday,10,11
161.05,Withdrawal,ATM,1,673,No,22,Wednesday,11,50
5222.97,Transfer,Mobile,2,515,No,5,Sunday,14,8
47.6,Online Payment,Mobile,11,397,No,1,Wednesday,8,14
8134.57,Withdrawal,ATM,14,626,Yes,18,Saturday,14,44
3508.53,Transfer,POS Terminal,13,597,No,29,Wednesday,6,28
9692.34,Withdrawal,Web,14,812,No,22,Wednesday,12,55
6314.89,Transfer,Web,15,833,Yes,6,Thursday,7,57
2446.39,Withdrawal,Web,18,484,Yes,28,Tuesday,13,3
2735.46,Withdrawal,POS Terminal,13,356,No,15,Saturday,0,38
7588.98,Online Payment,Mobile,2,794,Yes,8,Wednesday,12,13
1412.2,Deposit,POS Terminal,12,681,Yes,1,Wednesday,14,32
1249.56,Transfer,ATM,16,606,Yes,4,Saturday,16,3
3336.75,Transfer,POS Terminal,20,819,No,19,Sunday,8,50
4984.91,Online Payment,Web,3,671,No,22,Wednesday,13,50
2096.23,Transfer,ATM,13,772,No,3,Monday,16,12
2269.48,Withdrawal,ATM,19,674,No,5,Sunday,10,49
6151.39,Deposit,ATM,3,793,Yes,27,Monday,3,5
4045.27,Online Payment,Mobile,18,706,Yes,1,Wednesday,21,19
6156.48,Deposit,Web,15,482,No,6,Monday,23,6
2114.47,Deposit,POS Terminal,16,623,No,28,Tuesday,11,31
1076.29,Deposit,POS Terminal,2,567,Yes,13,Thursday,22,36
7731.06,Transfer,POS Terminal,10,394,No,27,Monday,23,43
2542.02,Withdrawal,Web,4,676,Yes,28,Tuesday,12,13
5973.54,Online Payment,Web,12,521,Yes,5,Sunday,7,37
1345.7,Withdrawal,ATM,16,562,Yes,19,Sunday,9,49
7254.01,Transfer,POS Terminal,17,744,No,16,Thursday,8,14
8964.07,Withdrawal,Mobile,14,821,Yes,26,Sunday,17,0
2258.86,Deposit,Mobile,9,465,Yes,26,Sunday,2,49
7432.65,Online Payment,Mobile,9,547,Yes,9,Sunday,4,52
